,temp_diff,sal_diff,month,latitude_x,latitude_y,longitude_x,longitude_y
225,0.0,0.0,3,40.04702,40.04702,-72.81633,-72.81633
226,0.0,0.0,3,40.59574,40.59574,-73.34358,-73.34358
227,0.0,0.0,3,40.538944,40.538944,-73.17466,-73.17466
228,0.0,0.0,3,39.84704,39.84704,-73.13237,-73.13237
229,0.0,0.0,3,39.623722,39.623722,-72.22222,-72.22222
230,0.0,0.0,3,39.729668,39.729668,-72.8804,-72.8804
231,0.0,0.0,3,39.99922,39.99922,-72.3218,-72.3218
232,0.0,0.0,3,40.138256,40.138256,-71.83566,-71.83566
233,0.0,0.0,3,40.25791,40.25791,-72.08755,-72.08755
234,0.0,0.0,3,40.449013,40.449013,-72.013756,-72.013756
235,0.0,0.0,3,40.698708,40.698708,-72.10783,-72.10783
236,0.0,0.0,3,40.003803,40.003803,-72.15805,-72.15805
237,0.0,0.0,3,39.817074,39.817074,-72.06771,-72.06771
238,0.0,0.0,3,41.10224,41.10224,-70.95989,-70.95989
239,0.0,0.0,3,41.087048,41.087048,-71.709435,-71.709435
240,0.0,0.0,3,40.817657,40.817657,-72.362335,-72.362335
241,0.0,0.0,3,40.950573,40.950573,-72.11962,-72.11962
242,0.0,0.0,3,40.961075,40.961075,-71.70427,-71.70427
243,0.0,0.0,3,41.024063,41.024063,-71.70685,-71.70685
244,0.0,0.0,3,40.81014,40.81014,-72.61087,-72.61087
245,0.0,0.0,3,40.67346,40.67346,-72.93467,-72.93467
246,0.0,0.0,3,40.885334,40.885334,-72.19962,-72.19962
247,0.0,0.0,3,40.560936,40.560936,-72.51476,-72.51476
248,0.0,0.0,3,40.883003,40.883003,-72.28258,-72.28258
249,0.0,0.0,3,40.812702,40.812702,-72.52804,-72.52804
250,0.0,0.0,3,41.22531,41.22531,-71.130585,-71.130585
251,0.0,0.0,3,41.414345,41.414345,-71.13675,-71.13675
252,0.0,0.0,3,41.351334,41.351334,-71.13469,-71.13469
253,0.0,0.0,3,41.354317,41.354317,-70.96744,-70.96744
254,0.0,0.0,4,41.044403,41.044403,-70.62504,-70.62504
255,0.0,0.0,4,41.174698,41.174698,-70.29446,-70.29446
256,0.0,0.0,4,40.986477,40.986477,-70.20756,-70.20756
257,0.0,0.0,4,40.474667,40.474667,-70.776375,-70.776375
258,0.0,0.0,4,40.397858,40.397858,-71.51665,-71.51665
259,0.0,0.0,4,40.709118,40.709118,-71.694046,-71.694046
260,0.0,0.0,4,40.851536,40.851536,-70.86944,-70.86944
261,0.0,0.0,4,40.73245,40.73245,-70.368744,-70.368744
262,0.0,0.0,4,40.65503,40.65503,-71.277916,-71.277916
263,0.0,0.0,4,40.54332,40.54332,-70.36488,-70.36488
264,0.0,0.0,4,40.402977,40.402977,-71.269394,-71.269394
265,0.0,0.0,4,40.21703,40.21703,-71.09866,-71.09866
266,0.0,0.0,4,40.406097,40.406097,-71.10452,-71.10452
267,0.0,0.0,4,40.159492,40.159492,-70.76813,-70.76813
268,0.0,0.0,4,40.548706,40.548706,-69.78631,-69.78631
269,0.0,0.0,4,40.546753,40.546753,-70.034294,-70.034294
